SKU,Nombre del Producto,Categoría,Subcategoría,Marca,Precio Base,Descripción,URL de la Imagen,Colores,Tiendas,Modalidades,URL,Activo,Material,Color,Medida,Cantidad Paquete,Biodegradable,Apto Microondas,Apto Congelador,Usos Recomendados
PROD-16340,Cuchara Gigante Regia Eco+,DESECHABLES,Cubiertos,Regia,1000,Esta cuchara es igual de recistente que la cuchara regia que ya conocemos pero más economica. Ideal para el sector restauranter,https://static.wixstatic.com/media/ad59bf_08d6d41fb1184d2a967aba0250e98d1f~mv2.png,Blanco,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|1000|Paquete 50pz|50 piezas;Mayoreo|850|Caja 1000pz|1000 piezas,,true,Polipropileno,Blanco,18 cm,50 unidades,No,No,No,Sopas calientes y frías
PROD-16341,Vaso Desechable 16oz Transparente,DESECHABLES,Vasos,Dart,450,Vaso transparente de 16oz ideal para bebidas frías,,Transparente,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|450|Paquete 50pz|50 vasos;Mayoreo|380|Caja 1000pz|1000 vasos,,true,PET,Transparente,16 oz (473 ml),50 vasos,No,No,Sí,Bebidas frías y jugos
PROD-16342,Plato Desechable 9 Negro,DESECHABLES,Platos,Genpak,850,Plato compartimentado de 9 pulgadas en color negro,,Negro,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|850|Paquete 25pz|25 platos;Mayoreo|720|Caja 500pz|500 platos,,true,Poliestireno,Negro,9 pulgadas,25 platos,No,Sí,No,Comidas calientes y eventos
PROD-16343,Tapa para Vaso 16oz,DESECHABLES,Accesorios,Dart,380,Tapa transparente con orificio para popote,,Transparente,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|380|Paquete 100pz|100 tapas;Mayoreo|320|Caja 1000pz|1000 tapas,,true,PET,Transparente,Compatible 16oz,100 tapas,No,No,Sí,Bebidas frías para llevar
PROD-16344,Charola Desechable Grande,DESECHABLES,Charolas,Genpak,1200,Charola negra para catering y eventos,,Negro,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|1200|Paquete 10pz|10 charolas;Mayoreo|1020|Caja 100pz|100 charolas,,true,Poliestireno,Negro,45 x 35 cm,10 charolas,No,Sí,No,Catering y eventos
PROD-16345,Tenedor Desechable Blanco,DESECHABLES,Cubiertos,Regia,320,Tenedor resistente color blanco,,Blanco,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|320|Paquete 50pz|50 tenedores;Mayoreo|270|Caja 1000pz|1000 tenedores,,true,Polipropileno,Blanco,16.5 cm,50 tenedores,No,No,No,Ensaladas y comidas
PROD-16346,Cuchillo Desechable Negro,DESECHABLES,Cubiertos,Regia,340,Cuchillo fuerte para carnes,,Negro,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|340|Paquete 50pz|50 cuchillos;Mayoreo|290|Caja 1000pz|1000 cuchillos,,true,Polipropileno,Negro,17 cm,50 cuchillos,No,No,No,Carnes y alimentos sólidos
PROD-16347,Vaso Desechable 12oz Rosa,DESECHABLES,Vasos,Solo,420,Vaso de colores para fiestas,,Rosa;Azul;Verde,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|420|Paquete 50pz|50 vasos;Mayoreo|360|Caja 1000pz|1000 vasos,,true,Poliestireno,Rosa,12 oz (355 ml),50 vasos,No,No,No,Fiestas y celebraciones
PROD-17100,Plato Biodegradable 10 Bagazo,BIODEGRADABLES,Eco-Friendly,EcoProducts,950,Plato hecho de bagazo de caña 100% compostable,,Natural,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|950|Paquete 25pz|25 platos;Mayoreo|810|Caja 500pz|500 platos,,true,Bagazo de caña,Natural,10 pulgadas,25 platos,Sí,Sí,No,Comidas calientes ecológicas
PROD-17101,Cubiertos Biodegradables Set 3pz,BIODEGRADABLES,Eco-Friendly,World Centric,680,Set de cuchara tenedor y cuchillo biodegradable,,Natural,Sucursal Centro;Sucursal Norte;Sucursal Sur,Menudeo|680|Paquete 10 sets|10 sets;Mayoreo|580|Caja 100 sets|100 sets,,true,CPLA (PLA cristalizado),Natural,16-18 cm,10 sets (30 pz),Sí,Sí,No,Eventos ecológicos
